id,date,sales,payout,terminal_id,agent_id,game_id,created_at,updated_at
25328,2010-04-23,540,90,100028,5,1,"2016-06-06 11:27:36.947662","2016-06-06 11:27:36.947662"
25329,2010-04-23,645,0,100028,5,2,"2016-06-06 11:27:37.133133","2016-06-06 11:27:37.133133"
25330,2010-04-23,80,0,100028,5,15,"2016-06-06 11:27:37.222010","2016-06-06 11:27:37.222010"
25331,2010-04-23,950,110,100028,5,50,"2016-06-06 11:27:37.293524","2016-06-06 11:27:37.293524"
25332,2010-04-23,420,90,100029,5,1,"2016-06-06 11:27:37.371007","2016-06-06 11:27:37.371007"
25333,2010-04-23,600,0,100029,5,2,"2016-06-06 11:27:37.448430","2016-06-06 11:27:37.448430"
25334,2010-04-23,550,120,100029,5,50,"2016-06-06 11:27:37.526570","2016-06-06 11:27:37.526570"
25335,2010-04-23,990,250,100030,5,1,"2016-06-06 11:27:37.605167","2016-06-06 11:27:37.605167"
25336,2010-04-23,690,0,100030,5,2,"2016-06-06 11:27:37.682408","2016-06-06 11:27:37.682408"
25337,2010-04-23,800,210,100030,5,50,"2016-06-06 11:27:37.776079","2016-06-06 11:27:37.776079"
25338,2010-04-23,570,5030,100031,5,1,"2016-06-06 11:27:37.876106","2016-06-06 11:27:37.876106"
25339,2010-04-23,840,0,100031,5,2,"2016-06-06 11:27:37.998482","2016-06-06 11:27:37.998482"
25340,2010-04-23,20,0,100031,5,15,"2016-06-06 11:27:38.216051","2016-06-06 11:27:38.216051"
25341,2010-04-23,1150,60,100031,5,50,"2016-06-06 11:27:38.309527","2016-06-06 11:27:38.309527"
25342,2010-04-23,1380,180,100032,5,1,"2016-06-06 11:27:38.409522","2016-06-06 11:27:38.409522"
25343,2010-04-23,1290,0,100032,5,2,"2016-06-06 11:27:38.509513","2016-06-06 11:27:38.509513"
25344,2010-04-23,60,0,100032,5,15,"2016-06-06 11:27:38.610931","2016-06-06 11:27:38.610931"
25345,2010-04-23,1400,240,100032,5,50,"2016-06-06 11:27:38.721578","2016-06-06 11:27:38.721578"
25346,2010-04-23,90,0,100033,5,1,"2016-06-06 11:27:38.821850","2016-06-06 11:27:38.821850"
25347,2010-04-23,435,0,100033,5,2,"2016-06-06 11:27:38.921894","2016-06-06 11:27:38.921894"
25348,2010-04-23,120,0,100033,5,15,"2016-06-06 11:27:39.021892","2016-06-06 11:27:39.021892"
25349,2010-04-23,100,0,100033,5,50,"2016-06-06 11:27:39.120484","2016-06-06 11:27:39.120484"
25350,2010-04-23,285,0,100035,5,2,"2016-06-06 11:27:39.207463","2016-06-06 11:27:39.207463"
25351,2010-04-23,100,0,100035,5,50,"2016-06-06 11:27:39.308848","2016-06-06 11:27:39.308848"
25352,2010-04-23,2940,1640,120004,5,1,"2016-06-06 11:27:39.393604","2016-06-06 11:27:39.393604"
25353,2010-04-23,600,0,120004,5,2,"2016-06-06 11:27:39.498540","2016-06-06 11:27:39.498540"
25354,2010-04-23,120,0,120004,5,15,"2016-06-06 11:27:39.610847","2016-06-06 11:27:39.610847"
25355,2010-04-23,300,100,120004,5,50,"2016-06-06 11:27:39.733050","2016-06-06 11:27:39.733050"
25356,2010-04-23,90,0,123002,5,1,"2016-06-06 11:27:39.854035","2016-06-06 11:27:39.854035"
25357,2010-04-23,60,0,123002,5,2,"2016-06-06 11:27:39.964962","2016-06-06 11:27:39.964962"
25358,2010-04-23,360,0,130004,5,1,"2016-06-06 11:27:40.075937","2016-06-06 11:27:40.075937"
25359,2010-04-23,195,0,130004,5,2,"2016-06-06 11:27:40.187503","2016-06-06 11:27:40.187503"
25360,2010-04-23,40,0,130004,5,15,"2016-06-06 11:27:40.298557","2016-06-06 11:27:40.298557"
25361,2010-04-23,200,0,130004,5,50,"2016-06-06 11:27:40.382550","2016-06-06 11:27:40.382550"
25362,2010-04-23,180,0,133001,5,1,"2016-06-06 11:27:40.471432","2016-06-06 11:27:40.471432"
25363,2010-04-23,120,0,133001,5,2,"2016-06-06 11:27:40.582052","2016-06-06 11:27:40.582052"
25364,2010-04-23,570,100,140002,5,1,"2016-06-06 11:27:40.682498","2016-06-06 11:27:40.682498"
25365,2010-04-23,225,0,140002,5,2,"2016-06-06 11:27:40.783751","2016-06-06 11:27:40.783751"
25366,2010-04-23,400,0,140002,5,50,"2016-06-06 11:27:40.882489","2016-06-06 11:27:40.882489"
25367,2010-04-23,450,30,143002,5,1,"2016-06-06 11:27:40.982575","2016-06-06 11:27:40.982575"
25368,2010-04-23,1380,0,143002,5,2,"2016-06-06 11:27:41.083955","2016-06-06 11:27:41.083955"
25369,2010-04-23,150,0,143002,5,50,"2016-06-06 11:27:41.187452","2016-06-06 11:27:41.187452"
25370,2010-04-23,240,0,144001,5,1,"2016-06-06 11:27:41.309586","2016-06-06 11:27:41.309586"
25371,2010-04-23,315,0,144001,5,2,"2016-06-06 11:27:41.420667","2016-06-06 11:27:41.420667"
25372,2010-04-23,20,0,144001,5,15,"2016-06-06 11:27:41.531760","2016-06-06 11:27:41.531760"
25373,2010-04-23,50,0,144001,5,50,"2016-06-06 11:27:41.644156","2016-06-06 11:27:41.644156"
25374,2010-04-23,540,170,200003,5,1,"2016-06-06 11:27:41.754010","2016-06-06 11:27:41.754010"
25375,2010-04-23,195,0,200003,5,2,"2016-06-06 11:27:41.871545","2016-06-06 11:27:41.871545"
25376,2010-04-23,20,0,200003,5,15,"2016-06-06 11:27:41.976442","2016-06-06 11:27:41.976442"
25377,2010-04-23,120,60,230001,5,1,"2016-06-06 11:27:42.088966","2016-06-06 11:27:42.088966"
25378,2010-04-23,30,0,230001,5,2,"2016-06-06 11:27:42.171449","2016-06-06 11:27:42.171449"
25379,2010-04-23,100,0,230001,5,50,"2016-06-06 11:27:42.265123","2016-06-06 11:27:42.265123"
25380,2010-04-23,330,0,230002,5,2,"2016-06-06 11:27:42.365023","2016-06-06 11:27:42.365023"
25381,2010-04-23,100,0,230002,5,50,"2016-06-06 11:27:42.476407","2016-06-06 11:27:42.476407"
25382,2010-04-23,270,0,230004,5,1,"2016-06-06 11:27:42.587492","2016-06-06 11:27:42.587492"
25383,2010-04-23,75,0,230004,5,2,"2016-06-06 11:27:42.700024","2016-06-06 11:27:42.700024"
25384,2010-04-23,50,0,230004,5,50,"2016-06-06 11:27:42.822011","2016-06-06 11:27:42.822011"
25385,2010-04-23,90,0,231001,5,1,"2016-06-06 11:27:42.933006","2016-06-06 11:27:42.933006"
25386,2010-04-23,15,0,231001,5,2,"2016-06-06 11:27:43.071471","2016-06-06 11:27:43.071471"
25387,2010-04-23,120,0,232001,5,1,"2016-06-06 11:27:43.226881","2016-06-06 11:27:43.226881"
25388,2010-04-23,405,0,232001,5,2,"2016-06-06 11:27:43.337954","2016-06-06 11:27:43.337954"
